Energy_DPMD (eV),x,y,z
-45583.37393,5.6,4.8,9.5
-45579.91409,5.7,6.5,10.6
-45580.56078,5.7,13.2,8.7
-45583.294,6.2,5.5,9.5
-45580.10262,6.3,5.8,10.6
-45580.74741,6.3,13.1,8.7
-45580.22172,7.4,6.9,8.7
-45580.85322,7.7,5.0,9.8
-45580.15551,8.2,8.6,9.1
-45580.10522,8.9,7.9,9.8
-45580.51252,9.2,8.5,9.8
-45579.91237,6.0,12.2,8.7
-45580.65532,8.1,5.2,9.1
-45580.23839,3.7,8.2,9.8
-45580.79074,4.8,5.8,8.7
-45580.93503,4.9,5.5,9.8
-45580.18496,6.4,6.6,10.2
-45582.59727,6.6,5.4,9.8
-45583.65789,7.0,4.8,9.1
-45580.02276,7.1,6.5,10.2
-45579.98373,8.5,9.0,10.2
-45581.8348,5.2,4.9,9.8
-45582.46936,5.4,5.7,9.2
-45583.03412,5.7,4.8,9.7
-45582.75024,5.9,5.6,9.1
-45583.63417,6.1,5.4,9.2
-45582.89659,6.3,5.5,9.7
-45580.11276,7.5,12.7,8.8
-45580.10762,8.8,9.1,10.1
-45580.3874,9.2,10.0,9.2
-45580.56088,3.2,8.3,9.7
-45580.05565,3.4,10.6,9.7
-45580.19378,4.4,5.4,9.7
-45581.34098,5.1,5.7,9.7
-45581.10889,6.0,5.9,10.1
-45579.9567,6.9,6.7,10.1
-45582.19281,7.2,5.1,9.7
-45580.08959,3.6,9.4,10.1
-45579.93139,3.7,9.9,9.2
-45579.9834,4.2,8.9,10.1
-45580.06193,4.9,13.1,8.8
-45579.9569,6.5,8.8,10.1
-45579.9129,7.1,12.0,8.8
-45580.31927,7.3,6.2,8.8
-45580.45534,8.7,8.7,9.2
-45580.24221,3.6,8.2,9.6
-45580.088,4.0,8.8,8.8
-45581.04009,4.8,5.5,9.6
-45582.56954,5.3,4.9,9.6
-45579.91178,6.4,7.3,10.5
-45580.17724,6.6,5.9,10.5
-45580.83798,6.6,13.0,8.8
-45583.03881,6.7,5.4,9.6
-45580.09007,8.2,5.3,9.6
-45579.97121,3.6,10.1,10.1
-45580.04237,5.8,9.3,9.2
-45580.27943,5.9,12.6,9.7
-45580.22388,6.4,9.0,9.2
-45580.79107,6.6,12.4,9.2
-45579.98941,7.0,11.8,9.7
-45583.096,7.3,4.9,8.8
-45581.4703,7.6,5.0,9.6
-45580.09376,7.8,5.6,10.1
-45580.70004,3.7,9.2,9.2
-45580.16547,4.1,9.0,9.7
-45580.184,4.3,9.1,9.2
-45580.21401,6.7,12.8,9.7
-45580.07176,7.2,6.4,9.7
-45579.97272,8.2,9.6,9.7
-45580.02964,3.2,6.8,9.7
-45579.94066,4.4,8.7,10.1
-45583.70634,5.6,5.0,8.8
-45581.85449,6.0,5.2,10.1
-45580.72212,6.1,6.1,9.2
-45580.02175,6.1,8.7,8.8
-45583.04015,6.2,5.3,8.8
-45580.01583,6.3,8.6,10.1
-45580.81194,8.9,8.9,9.2
-45580.37691,3.3,8.5,8.8
-45580.96754,4.5,5.2,8.8
-45580.1861,5.5,12.7,9.6
-45580.93719,5.7,6.3,9.7
-45580.41342,6.0,12.4,9.6
-45581.90789,6.3,6.0,9.7
-45580.36269,6.3,12.9,9.6
-45580.88653,9.2,9.5,9.2
-45579.96143,3.4,6.3,9.6
-45580.20326,4.8,6.0,9.6
-45580.17181,5.2,5.1,10.5
-45580.65633,5.3,6.2,9.6
-45580.86332,5.6,6.3,9.5
-45579.95727,5.9,6.8,9.6
-45582.03368,6.2,6.0,9.5
-45579.91863,6.4,7.8,10.5
-45580.59224,6.6,5.2,10.5
-45581.60464,6.7,6.1,9.6
-45580.30618,8.6,9.7,9.6
-45580.35617,4.0,9.0,9.5
-45580.34691,5.7,5.0,10.6
-45580.44698,5.8,12.6,9.5
-45580.36696,6.3,5.3,10.6
-45580.44271,6.6,12.8,9.5
-45579.98952,7.1,11.8,9.5
-45580.07566,7.2,4.9,10.6
-45580.1879,7.3,6.4,9.5
-45580.07425,8.3,9.6,9.5
-45580.09071,3.6,8.4,8.7
-45581.78405,4.8,5.3,8.7
-45580.39202,4.9,6.0,9.8
-45580.39448,5.2,6.2,9.8
-45581.42698,6.6,6.1,9.8
-45583.29811,6.7,5.2,8.7
-45580.56299,7.0,6.3,9.1
-45581.05246,7.1,5.0,10.2
-45580.09558,7.2,12.1,9.1
-45580.24002,8.4,8.8,9.1
-45580.25892,8.7,9.7,9.8
-45579.92937,3.5,6.3,9.8
-45580.18453,5.1,12.7,9.1
-45583.21614,5.3,5.1,8.7
-45580.85394,6.0,12.8,9.1
-45580.16977,6.2,12.9,9.8
-45579.93118,6.6,8.7,10.2
-45580.99255,3.2,9.3,9.1
-45579.94155,3.3,10.0,10.2
-45579.96685,5.4,12.7,9.8
-45579.97717,5.5,9.2,9.1
-45580.81217,5.6,6.1,10.0
-45580.13525,5.7,11.8,9.1
-45580.45611,6.0,6.3,9.3
-45580.22789,6.1,12.4,9.8
-45580.95865,6.3,12.5,9.1
-45580.05405,6.9,9.1,9.1
-45580.23695,7.5,5.7,10.2
-45582.18518,7.6,4.8,8.7
-45580.0616,9.2,7.0,9.8
-45580.0716,3.3,7.4,10.0
-45580.81351,4.4,5.0,8.9
-45580.93985,6.2,6.2,10.0
-45583.93783,6.3,5.1,8.9
-45580.6129,8.8,9.5,9.3
-45580.74654,3.6,9.0,9.3
-45580.082,4.0,9.2,10.0
-45580.23862,4.2,9.3,9.3
-45583.70464,5.7,5.2,8.9
-45581.02515,6.1,5.0,10.4
-45580.41548,7.0,12.8,9.3
-45580.26187,5.3,12.5,9.3
-45580.00841,5.4,9.0,9.4
-45580.18309,5.9,9.1,9.3
-45580.46403,6.2,11.9,9.4
-45580.0013,6.4,12.7,10.0
-45580.14231,6.5,9.2,9.3
-45580.36956,6.7,11.8,9.3
-45579.98424,6.9,12.6,9.9
-45582.6636,7.2,5.5,8.9
-45580.73413,7.3,5.8,10.0
-45580.84471,3.3,9.1,9.4
-45579.9649,4.7,9.2,9.4
-45580.41838,5.6,12.4,9.4
-45579.99417,5.7,12.8,9.9
-45580.04683,6.0,11.8,9.9
-45584.07318,6.6,5.0,9.0
-45579.98508,6.8,9.3,9.4
-45580.82739,7.0,5.2,10.3
-45580.07936,7.3,12.3,9.4
-45580.39533,7.6,5.9,9.9
-45581.69594,7.7,5.4,9.0
-45580.22594,8.3,4.9,9.0
-45580.37666,8.5,9.4,9.4
-45580.13542,8.9,8.3,9.0
-45580.63567,9.0,9.7,9.4
-45580.00471,3.4,8.7,10.3
-45580.11694,4.3,8.5,9.0
-45582.33615,4.9,5.1,9.0
-45582.96939,5.2,5.3,9.0
-45580.85379,5.3,6.0,9.9
-45579.96691,6.5,6.9,9.9
-45580.81113,6.7,6.3,9.9
-45579.98531,7.1,8.7,9.0
-45580.79547,3.6,9.0,8.9
-45579.91886,4.1,8.4,10.3
-45580.32872,5.9,11.7,9.3
-45580.66657,7.0,12.8,8.9
-45581.17965,7.1,6.1,9.4
-45580.06189,7.3,5.8,10.4
-45579.97978,3.7,10.3,10.0
-45580.15246,3.9,8.6,10.0
-45580.67571,4.4,5.0,9.3
-45580.43975,5.3,12.5,8.9
-45580.14219,5.6,6.1,10.4
-45580.02285,5.9,9.1,8.9
-45579.92288,6.1,7.6,10.4
-45580.19358,6.2,6.2,10.4
-45579.97361,6.5,9.2,8.9
-45579.91547,6.8,6.8,10.4
-45582.63657,7.2,5.5,9.3
-45580.14499,8.9,9.8,10.0
-45582.57259,5.2,5.3,9.4
-45579.94404,5.6,8.7,10.0
-45583.69497,5.7,5.2,9.3
-45582.35729,6.1,5.0,10.0
-45580.14629,6.1,5.3,10.7
-45584.06951,6.3,5.1,9.3
-45579.92201,6.4,8.4,9.4
-45579.96049,6.9,8.5,9.3
-45581.96663,7.0,5.2,9.9
-45580.43514,8.8,9.5,8.9
-45580.51428,9.0,9.7,9.0
-45580.0035,9.2,10.4,10.0
-45580.39418,3.4,8.7,9.9
-45580.00574,4.1,8.4,9.9
-45581.88864,4.9,5.1,9.4
-45580.18586,5.3,6.0,10.3
-45579.95,6.5,6.9,10.3
-45583.84356,6.6,5.0,9.4
-45580.20015,6.7,6.3,10.3
-45580.97682,7.1,6.1,9.0
-45580.22524,7.3,12.3,9.0
-45580.00484,8.4,9.9,9.9
-45580.15696,8.5,9.4,9.0
